Other theft: England, Kent, Maidstone District, Faversham and Mid Kent, Ashford, Ashford District, South East, ME172BU, Y52Q37, Harrietsham and Lenham, On or near Lenham Heath Road
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN270SL, Y52Q37, Weald Central, On or near The Street
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN270SP, Y52Q37, Weald Central, On or near Smarden Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN270PF, Y52Q37, Weald Central, On or near Egerton Road
Other theft: England, Kent, Maidstone District, Faversham and Mid Kent, Ashford, Ashford District, South East, TN279BB, Y52Q37, Weald North, On or near Coach Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN279EL, Y52Q37, Weald North, On or near Forge Lane
Violence and sexual offences: England, Kent, Maidstone District, Faversham and Mid Kent, Ashford, Ashford District, South East, TN279AS, Y52Q37, Weald North, On or near Field Mill Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN279EP, Y52Q37, Weald North, On or near Newland Green Lane
Burglary: England, Kent, Ashford, Ashford District, South East, TN249AY, Y52Q37, Bockhanger, On or near Park Vale
Burglary: England, Kent, Ashford, Ashford District, South East, TN249JA, Y52Q37, Bybrook, On or near Canterbury Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN249QB, Y52Q37, Bybrook, On or near Sports/Recreation Area
Other theft: England, Kent, Ashford, Ashford District, South East, TN249JB, Y52Q37, Bybrook, On or near Kingswood
Other theft: England, Kent, Ashford, Ashford District, South East, TN249AY, Y52Q37, Bockhanger, On or near Park Vale
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN249NJ, Y52Q37, Bybrook, On or near Faversham Road
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN249NJ, Y52Q37, Bybrook, On or near Faversham Road
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN249DP, Y52Q37, Bybrook, On or near Tudor Road
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249ET, Y52Q37, Little Burton Farm, On or near Sports/Recreation Area
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249HP, Y52Q37, Kennington, On or near Tritton Fields
Other theft: England, Kent, Ashford, Ashford District, South East, TN249NS, Y52Q37, Boughton Aluph and Eastwell, On or near Rookery Close
Other theft: England, Kent, Ashford, Ashford District, South East, TN254ED, Y52Q37, Kennington, On or near Kings Meadow
Other theft: England, Kent, Ashford, Ashford District, South East, TN249AJ, Y52Q37, Kennington, On or near Upper Vicarage Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN249ET, Y52Q37, Little Burton Farm, On or near Sports/Recreation Area
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN249RP, Y52Q37, Kennington, On or near Lower Vicarage Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249HG, Y52Q37, Kennington, On or near Okehampton Close
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249HG, Y52Q37, Kennington, On or near Okehampton Close
Other crime: England, Kent, Ashford, Ashford District, South East, TN249HG, Y52Q37, Kennington, On or near Marlborough Way
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249TA, Y52Q37, Little Burton Farm, On or near Vincent Place
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249TA, Y52Q37, Little Burton Farm, On or near Vincent Place
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN249PW, Y52Q37, Little Burton Farm, On or near Richmond Meech Drive
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN249PW, Y52Q37, Little Burton Farm, On or near Richmond Meech Drive
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249QN, Y52Q37, Little Burton Farm, On or near John Newington Close
Theft from the person: England, Kent, Ashford, Ashford District, South East, TN249EL, Y52Q37, Little Burton Farm, On or near Warwick Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249DE, Y52Q37, Little Burton Farm, On or near Garden Place
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249EL, Y52Q37, Little Burton Farm, On or near Warwick Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249DE, Y52Q37, Little Burton Farm, On or near Garden Place
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN254BY, Y52Q37, Boughton Aluph and Eastwell, On or near Bloomsbury Way
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249BP, Y52Q37, Bockhanger, On or near Riding Hill
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249BP, Y52Q37, Bockhanger, On or near Riding Hill
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249PP, Y52Q37, Bockhanger, On or near Woodstock Way
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249BW, Y52Q37, Bockhanger, On or near Grasmere Road
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249BS, Y52Q37, Bockhanger, On or near Crofton Close
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249BW, Y52Q37, Bockhanger, On or near Grasmere Road
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN254AJ, Y52Q37, Bockhanger, On or near Bockhanger Lane
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249BP, Y52Q37, Bockhanger, On or near Riding Hill
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249BS, Y52Q37, Bockhanger, On or near Crofton Close
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249BS, Y52Q37, Bockhanger, On or near Crofton Close
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN254BY, Y52Q37, Boughton Aluph and Eastwell, On or near Bloomsbury Way
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249RU, Y52Q37, Bockhanger, On or near Portland Close
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN248SB, Y52Q37, Bockhanger, On or near Rutherford Road
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249RH, Y52Q37, Bockhanger, On or near Beecholme Drive
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN248SB, Y52Q37, Bockhanger, On or near Rutherford Road
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN261JB, Y52Q37, Downs West, On or near Potters Close
Bicycle theft: England, Kent, Ashford, Ashford District, South East, TN248SB, Y52Q37, Bockhanger, On or near Rutherford Road
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249RH, Y52Q37, Bockhanger, On or near Beecholme Drive
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN248SB, Y52Q37, Bockhanger, On or near Rutherford Road
