Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN270JR, Y52Q37, Charing, On or near School Road
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN254AY, Y52Q37, Downs West, On or near Chapmans Close
Burglary: England, Kent, Ashford, Ashford District, South East, TN254DG, Y52Q37, Downs West, On or near White Hill
Other theft: England, Kent, Ashford, Ashford District, South East, TN254DQ, Y52Q37, Downs West, On or near Clevedon Court
Other theft: England, Kent, Ashford, Ashford District, South East, TN254DG, Y52Q37, Downs West, On or near White Hill
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN254DF, Y52Q37, Downs West, On or near Canterbury Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN261JA, Y52Q37, Downs West, On or near Sandyhurst Lane
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN254AD, Y52Q37, Downs West, On or near Canterbury Road
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN261EJ, Y52Q37, Downs West, On or near Meadow View
Burglary: England, Kent, Ashford, Ashford District, South East, TN270EY, Y52Q37, Charing, On or near Airport/Airfield
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN261AL, Y52Q37, Downs West, On or near Westwell Lane
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN261AB, Y52Q37, Downs West, On or near Waterfall Road
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN261AL, Y52Q37, Downs West, On or near Westwell Lane
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN254JJ, Y52Q37, Downs West, On or near M20
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN261AL, Y52Q37, Downs West, On or near Westwell Lane
Drugs: England, Kent, Ashford, Ashford District, South East, TN261EW, Y52Q37, Downs West, On or near Park/Open Space
Drugs: England, Kent, Ashford, Ashford District, South East, TN261AL, Y52Q37, Downs West, On or near Westwell Lane
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN261EW, Y52Q37, Downs West, On or near Bear'S Lane
Anti-social behaviour: England, Kent, Maidstone District, Faversham and Mid Kent, Ashford, Ashford District, South East, TN270BT, Y52Q37, Weald Central, On or near Church Hill
Anti-social behaviour: England, Kent, Maidstone District, Ashford, Ashford District, South East, TN270BA, Y52Q37, Weald Central, On or near Wind Hill
Drugs: England, Kent, Ashford, Ashford District, South East, TN270SL, Y52Q37, Weald Central, On or near The Street
Other theft: England, Kent, Ashford, Ashford District, South East, TN270RP, Y52Q37, Weald Central, On or near The Grove
Other theft: England, Kent, Ashford, Ashford District, South East, TN270PJ, Y52Q37, Weald Central, On or near Swan Lane
Possession of weapons: England, Kent, Ashford, Ashford District, South East, TN270SL, Y52Q37, Weald Central, On or near The Street
Possession of weapons: England, Kent, Ashford, Ashford District, South East, TN270SL, Y52Q37, Weald Central, On or near The Street
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN270SL, Y52Q37, Weald Central, On or near The Street
Vehicle crime: England, Kent, Maidstone District, Ashford, Ashford District, South East, TN270BA, Y52Q37, Weald Central, On or near Wind Hill
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN270SL, Y52Q37, Weald Central, On or near The Street
Violence and sexual offences: England, Kent, Maidstone District, Ashford, Ashford District, South East, TN270BA, Y52Q37, Weald Central, On or near Wind Hill
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN270QA, Y52Q37, Weald Central, On or near Swan Lane
Anti-social behaviour: England, Kent, Maidstone District, Faversham and Mid Kent, Ashford, Ashford District, South East, TN279AS, Y52Q37, Weald North, On or near Field Mill Road
Burglary: England, Kent, Ashford, Ashford District, South East, TN279EY, Y52Q37, Weald North, On or near Greenhill Lane
Other theft: England, Kent, Ashford, Ashford District, South East, TN279DR, Y52Q37, Weald North, On or near Elm Close
Vehicle crime: England, Kent, Maidstone District, Faversham and Mid Kent, Ashford, Ashford District, South East, TN279BB, Y52Q37, Weald North, On or near Coach Road
Violence and sexual offences: England, Kent, Maidstone District, Faversham and Mid Kent, Ashford, Ashford District, South East, TN279AS, Y52Q37, Weald North, On or near Field Mill Road
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249QB, Y52Q37, Bybrook, On or near Sports/Recreation Area
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249JH, Y52Q37, Bybrook, On or near Ashborne Close
Other theft: England, Kent, Ashford, Ashford District, South East, TN249JA, Y52Q37, Bybrook, On or near Canterbury Road
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN249NJ, Y52Q37, Bybrook, On or near Faversham Road
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN249NJ, Y52Q37, Bybrook, On or near Faversham Road
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN249NJ, Y52Q37, Bybrook, On or near Faversham Road
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN249JX, Y52Q37, Bybrook, On or near Canterbury Road
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN249JX, Y52Q37, Bybrook, On or near Canterbury Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249JX, Y52Q37, Bybrook, On or near Canterbury Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249NJ, Y52Q37, Bybrook, On or near Faversham Road
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249DJ, Y52Q37, Bybrook, On or near Petrol Station
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249HT, Y52Q37, Kennington, On or near Ulley Road
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249DJ, Y52Q37, Bybrook, On or near Petrol Station
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249ET, Y52Q37, Little Burton Farm, On or near Sports/Recreation Area
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249NS, Y52Q37, Boughton Aluph and Eastwell, On or near Rookery Close
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249PW, Y52Q37, Little Burton Farm, On or near Richmond Meech Drive
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249PW, Y52Q37, Little Burton Farm, On or near Richmond Meech Drive
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249SH, Y52Q37, Little Burton Farm, On or near Raymond Fuller Way
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249PW, Y52Q37, Little Burton Farm, On or near Richmond Meech Drive
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249SH, Y52Q37, Little Burton Farm, On or near James Haney Drive
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249RX, Y52Q37, Little Burton Farm, On or near Peter Candler Way
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249TA, Y52Q37, Little Burton Farm, On or near Vincent Place
Bicycle theft: England, Kent, Ashford, Ashford District, South East, TN249QL, Y52Q37, Little Burton Farm, On or near Beatrice Hills Close
Bicycle theft: England, Kent, Ashford, Ashford District, South East, TN249QL, Y52Q37, Little Burton Farm, On or near Beatrice Hills Close
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249SH, Y52Q37, Little Burton Farm, On or near Raymond Fuller Way
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249PW, Y52Q37, Little Burton Farm, On or near Richmond Meech Drive
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249PW, Y52Q37, Little Burton Farm, On or near Richmond Meech Drive
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249SH, Y52Q37, Little Burton Farm, On or near Raymond Fuller Way
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249PW, Y52Q37, Little Burton Farm, On or near Richmond Meech Drive
Other theft: England, Kent, Ashford, Ashford District, South East, TN249SH, Y52Q37, Little Burton Farm, On or near Raymond Fuller Way
Other theft: England, Kent, Ashford, Ashford District, South East, TN249RX, Y52Q37, Little Burton Farm, On or near Peter Candler Way
Possession of weapons: England, Kent, Ashford, Ashford District, South East, TN249SH, Y52Q37, Little Burton Farm, On or near Raymond Fuller Way
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN249PW, Y52Q37, Little Burton Farm, On or near Richmond Meech Drive
Shoplifting: England, Kent, Ashford, Ashford District, South East, TN249PW, Y52Q37, Little Burton Farm, On or near Richmond Meech Drive
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN249PQ, Y52Q37, Little Burton Farm, On or near Robert Brundett Close
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249SH, Y52Q37, Little Burton Farm, On or near Raymond Fuller Way
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249SH, Y52Q37, Little Burton Farm, On or near Raymond Fuller Way
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249QL, Y52Q37, Little Burton Farm, On or near George Williams Way
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249SH, Y52Q37, Little Burton Farm, On or near Raymond Fuller Way
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249SH, Y52Q37, Little Burton Farm, On or near Raymond Fuller Way
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249DF, Y52Q37, Little Burton Farm, On or near North Pends
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249DD, Y52Q37, Little Burton Farm, On or near Dudley Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249DX, Y52Q37, Little Burton Farm, On or near Randolph Gardens
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249DT, Y52Q37, Little Burton Farm, On or near Nettlefield
Other crime: England, Kent, Ashford, Ashford District, South East, TN249DD, Y52Q37, Little Burton Farm, On or near Dudley Road
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249BP, Y52Q37, Bockhanger, On or near Riding Hill
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249RU, Y52Q37, Bockhanger, On or near Portland Close
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249LF, Y52Q37, Boughton Aluph and Eastwell, On or near Dale Walk
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249PS, Y52Q37, Bockhanger, On or near Larch Walk
Burglary: England, Kent, Ashford, Ashford District, South East, TN249BP, Y52Q37, Bockhanger, On or near Riding Hill
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249BP, Y52Q37, Bockhanger, On or near Riding Hill
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249BS, Y52Q37, Bockhanger, On or near Crofton Close
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249BS, Y52Q37, Bockhanger, On or near Crofton Close
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN261JB, Y52Q37, Downs West, On or near Potters Close
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN254BZ, Y52Q37, Bockhanger, On or near Fougeres Way
Bicycle theft: England, Kent, Ashford, Ashford District, South East, TN249RH, Y52Q37, Bockhanger, On or near Beecholme Drive
Burglary: England, Kent, Ashford, Ashford District, South East, TN249RH, Y52Q37, Bockhanger, On or near Beecholme Drive
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN254BZ, Y52Q37, Bockhanger, On or near Fougeres Way
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN254BN, Y52Q37, Bockhanger, On or near Rectory Way
